,0
shangai,0.31262949592849304
btc,2.1143393327548674
crude oil,-0.5657192739887589
euro,-0.11768508016089647
gold,0.12568018107454518
silver,-0.03272143779523126
ftse,0.008906098779463209
spy,0.30336474685483444
hsi,0.0552942832324798
nasdaq,0.47753500773693686
nikkei,0.28026992236790393
rates,-0.3612730290876031
open,2.039108992610143
high,2.0621790814985452
low,2.115882935480008
MA4,2.1203881319416977
MA50,2.208185648371412
MA80,2.1868714096034703
stochRSI,52.410230277701636
RSI,55.097982403123275
btc_std_dev,3447.5414236421525
std_dif,1.651188434438099
vol_btc,4.0067505942909465
hashrate,3.969275916633186
difficulty,4.06116117140764
transactions,337642965.4147244
t_cost,0.029179822378071055
y_c,0.0003699593044765076
